"","RKI","LGL","Inzidenz=35","",""
"1.10.","36,0","36,02","35","",""
"2.10.","36,6","36,56","35","",""
"3.10.","35,9","--","35","",""
"4.10.","37,4","--","35","",""
"5.10","36,6","36,56","35","",""
"6.10.","32,5","32,48","35","",""
"7.10","34,7","34,66","35","",""
"8.10.","36,4","36,45","35","",""
"9.10.","42,4","42,38","35","",""
"10.10.","47,7","47,70","35","",""
"11.10.","48,6","--","35","",""
"12.10.","50,6","50,53","35","",""
"13.10.","53,7","53,70","35","",""
"14.10.","52,1","52,15","35","",""
"15.10.","54,6","54,57","35","",""
"16.10.","57,7","57,67","35","",""
"17.10.","60,6","60,64","35","",""
"18.10.","69,5","--","35","",""
"19.10.","72,4","72,43","35","",""
"20.10.","72,8","72,77","35","",""
"21.10.","75,3","75,26","35","",""
"22.10.","82,4","82,4","35","",""
"23.10.","86,8","86,78","35","",""
"24.10.","98,3","98,30","35","",""
"25.10.","100,6","","35","",""
"26.10.","114,5","114,47","35","",""
"27.10.","114,4","114,40","35","",""
"28.10.","122,3","","35","",""
"29.10.","125,6","125,59","35","",""
"30.10.","129,8","129,76","35","",""
"31.10.","133,2","133.20","35","",""
"1.11.","137,4","","35","",""
"2.11.","142,0","141,96","35","",""
"3.11.","150,11","150,11","35","",""
"4.11.","","146,34","35","",""
"5.11.","159,5","159,48","35","",""
"6.11.","152,9","152,94","35","",""
"7.11.","174,6","174,57","35","",""
"8.11.","189,3","--","35","",""
"9.11.","204,0","204,01","35","",""
"10.11.","207,5","207,52","35","",""
"11.11.","196,1","196,06","35","",""
"12.11.","211,2","211,15","35","",""
"13.11.","214,9","214,86","35","",""
"14.11.","204,1","204,08","35","",""
"15.11.","211,4","211,36","35","",""
"16.11.","212,2","212,23","35","",""
"17.11.","182,3","182,32","35","",""
"18.11.","177,3","177,33","35","",""
"19.11.","165,7","165,68","35","",""
"20.11.","167,6","167,63","35","",""
"21.11.","180,1","180,09","35","",""
"22.11.","180,2","","35","",""
"23.11.","188,0","188,04","35","",""
"24.11.","199,3","199,30","35","",""
"25.11.","189,5","189,5","35","",""
"26.11.","184,1","184,1","35","",""
"27.11.","170,2","170,19","35","",""
"28.11.","172,6","172,62","35","",""
"29.11.","171,8","","35","",""
"30.11.","181,1","181,04","35","",""
"1.12.","183,1","190,4","35","",""
"2.12.","178,4","178,41","35","",""
